id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
PQC0109,VietJet Air,1567000.0,PQC,60,2,1,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0132,VietJet Air,1567000.0,PQC,65,2,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0017,VietJet Air,1635000.0,PQC,60,2,1,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0042,VietJet Air,1827000.0,PQC,60,2,1,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0088,VietJet Air,1827000.0,PQC,60,2,1,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0018,VietJet Air,1146000.0,PQC,60,2,2,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0037,VietJet Air,1146000.0,PQC,65,2,2,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0133,VietJet Air,1284000.0,PQC,65,2,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0089,VietJet Air,1567000.0,PQC,60,2,2,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0110,VietJet Air,1567000.0,PQC,60,2,2,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0043,VietJet Air,1794000.0,PQC,60,2,2,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0067,VietJet Air,1794000.0,PQC,60,2,2,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0019,VietJet Air,1037000.0,PQC,60,2,3,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0111,VietJet Air,1146000.0,PQC,60,2,3,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0134,VietJet Air,1146000.0,PQC,65,2,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0044,VietJet Air,1283000.0,PQC,60,2,3,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0068,VietJet Air,1283000.0,PQC,60,2,3,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0090,VietJet Air,1283000.0,PQC,60,2,3,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0135,VietJet Air,817000.0,PQC,65,0,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0020,VietJet Air,1037000.0,PQC,60,0,4,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0091,VietJet Air,1146000.0,PQC,60,0,4,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0112,VietJet Air,1146000.0,PQC,60,0,4,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0045,VietJet Air,1284000.0,PQC,60,0,4,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0069,VietJet Air,1284000.0,PQC,60,0,4,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0021,VietJet Air,1037000.0,PQC,60,0,5,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0113,VietJet Air,1037000.0,PQC,60,0,5,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0136,VietJet Air,1037000.0,PQC,65,0,5,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0064,VietJet Air,1146000.0,PQC,60,0,5,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0070,VietJet Air,1146000.0,PQC,60,0,5,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0092,VietJet Air,1146000.0,PQC,60,0,5,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0046,VietJet Air,1284000.0,PQC,60,0,5,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0137,VietJet Air,817000.0,PQC,65,0,6,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0022,VietJet Air,1037000.0,PQC,60,0,6,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0114,VietJet Air,1037000.0,PQC,60,0,6,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0093,VietJet Air,1146000.0,PQC,60,0,6,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0047,VietJet Air,1283000.0,PQC,60,0,6,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0071,VietJet Air,1283000.0,PQC,60,0,6,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0023,VietJet Air,1037000.0,PQC,60,0,7,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0094,VietJet Air,1283000.0,PQC,60,0,7,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0115,VietJet Air,1283000.0,PQC,60,0,7,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0038,VietJet Air,1283000.0,PQC,65,0,7,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0138,VietJet Air,1283000.0,PQC,65,0,7,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0155,VietJet Air,1283000.0,PQC,65,0,7,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0048,VietJet Air,1399000.0,PQC,60,0,7,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0072,VietJet Air,1399000.0,PQC,60,0,7,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0139,VietJet Air,1283000.0,PQC,65,1,8,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0024,VietJet Air,1399000.0,PQC,60,1,8,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0116,VietJet Air,1399000.0,PQC,60,1,8,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0095,VietJet Air,1567000.0,PQC,60,1,8,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0049,VietJet Air,1682000.0,PQC,60,1,8,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0073,VietJet Air,1682000.0,PQC,60,1,8,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0140,VietJet Air,1146000.0,PQC,65,1,9,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0025,VietJet Air,1283000.0,PQC,60,1,9,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0096,VietJet Air,1283000.0,PQC,60,1,9,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0117,VietJet Air,1283000.0,PQC,60,1,9,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0074,VietJet Air,1399000.0,PQC,60,1,9,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0050,VietJet Air,1567000.0,PQC,60,1,9,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0118,VietJet Air,814000.0,PQC,60,1,10,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0141,VietJet Air,814000.0,PQC,65,1,10,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0026,VietJet Air,1037000.0,PQC,60,1,10,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0051,VietJet Air,1142000.0,PQC,60,1,10,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0075,VietJet Air,1142000.0,PQC,60,1,10,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0097,VietJet Air,1142000.0,PQC,60,1,10,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0018,VietJet Air,1165000.0,PQC,60,2,1,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0037,VietJet Air,1165000.0,PQC,65,2,1,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0133,VietJet Air,1310000.0,PQC,65,2,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0089,VietJet Air,1563000.0,PQC,60,2,1,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0110,VietJet Air,1563000.0,PQC,60,2,1,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0043,VietJet Air,1790000.0,PQC,60,2,1,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
