brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,checked_baggage,hand_luggage,crawl_date
VietJet Air,1.841.385 VND/khách,04:30,01 thg 5,01 thg 5,06:30,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 0 kg,Hành lý xách tay 7 kg,18-04-2025
VietJet Air,2.016.945 VND/khách,21:10,01 thg 5,01 thg 5,23:05,1h 55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 0 kg,Hành lý xách tay 7 kg,18-04-2025
VietJet Air,2.016.945 VND/khách,06:15,01 thg 5,01 thg 5,08:15,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 0 kg,Hành lý xách tay 7 kg,18-04-2025
VietJet Air,2.016.945 VND/khách,19:15,01 thg 5,01 thg 5,21:15,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 0 kg,Hành lý xách tay 7 kg,18-04-2025
VietJet Air,2.016.945 VND/khách,20:10,01 thg 5,01 thg 5,22:10,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 0 kg,Hành lý xách tay 7 kg,18-04-2025
Bamboo Airways,2.159.075 VND/khách,20:05,01 thg 5,01 thg 5,22:10,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 0 kg,Hành lý xách tay 7 kg,18-04-2025
VietJet Air,2.192.505 VND/khách,09:15,01 thg 5,01 thg 5,11:15,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 0 kg,Hành lý xách tay 7 kg,18-04-2025
Vietnam Airlines,2.242.755 VND/khách,07:45,01 thg 5,01 thg 5,09:45,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,18-04-2025
Vietnam Airlines,2.242.755 VND/khách,13:20,01 thg 5,01 thg 5,15:25,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,18-04-2025
Vietnam Airlines,2.253.744 VND/khách,20:30,01 thg 5,01 thg 5,22:30,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,18-04-2025
VietJet Air,2.368.065 VND/khách,14:05,01 thg 5,01 thg 5,16:05,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 0 kg,Hành lý xách tay 7 kg,18-04-2025
Vietnam Airlines,2.688.309 VND/khách,17:55,01 thg 5,01 thg 5,19:55,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg,18-04-2025
VietJet Air,1.866.323 VND/khách,04:30,01 thg 5,01 thg 5,06:30,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",,,19-04-2025
VietJet Air,2.036.895 VND/khách,06:15,01 thg 5,01 thg 5,08:15,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",,,19-04-2025
