,id,brand,price,start_time,start_day,end_time,end_day,trip_time,destination,hand_luggage,checked_baggage,crawl_date
0,DAD0002,Bamboo Airways,1.300.341 VND/khách,06:30,02 thg 5,07:55,02 thg 5,1h 25m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
1,DAD0221,VietJet Air,1.426.425 VND/khách,15:40,02 thg 5,17:00,02 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
2,DAD0227,VietJet Air,1.426.425 VND/khách,15:50,02 thg 5,17:10,02 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
3,DAD0014,Bamboo Airways,1.443.123 VND/khách,09:05,02 thg 5,10:30,02 thg 5,1h 25m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
4,DAD0178,VietJet Air,1.564.080 VND/khách,13:35,02 thg 5,14:50,02 thg 5,1h 15m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
5,DAD0038,VietJet Air,1.566.161 VND/khách,05:00,02 thg 5,06:20,02 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
6,DAD0071,VietJet Air,1.566.161 VND/khách,06:50,02 thg 5,08:10,02 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
7,DAD0142,VietJet Air,1.566.161 VND/khách,12:30,02 thg 5,13:50,02 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
8,DAD0229,VietJet Air,1.566.161 VND/khách,16:15,02 thg 5,17:35,02 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
9,DAD0288,VietJet Air,1.566.161 VND/khách,19:15,02 thg 5,20:35,02 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
