id,brand,price,start_time,start_day,end_time,end_day,trip_time,destination,checked_baggage,hand_luggage,crawl_date
DLI0001,Bamboo Airways,1.740.927 VND/khách,16:45,01 thg 5,17:40,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,11-04-2025
DLI0014,VietJet Air,1.704.435 VND/khách,09:55,01 thg 5,10:50,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,11-04-2025
DLI0029,VietJet Air,1.704.435 VND/khách,15:35,01 thg 5,16:30,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,11-04-2025
DLI0122,Vietnam Airlines,1.932.066 VND/khách,21:10,01 thg 5,22:10,01 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,11-04-2025
DLI0045,Vietnam Airlines,1.939.059 VND/khách,05:45,01 thg 5,06:40,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,11-04-2025
DLI0085,Vietnam Airlines,1.994.004 VND/khách,10:15,01 thg 5,11:10,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,11-04-2025
DLI0001,Bamboo Airways,1.749.675 VND/khách,16:45,01 thg 5,17:40,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 20 kg,Hành lý xách tay 7 kg,12-04-2025
DLI0014,VietJet Air,1.716.000 VND/khách,09:55,01 thg 5,10:50,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,12-04-2025
DLI0029,VietJet Air,1.716.000 VND/khách,15:35,01 thg 5,16:30,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,12-04-2025
DLI0122,Vietnam Airlines,1.936.062 VND/khách,21:10,01 thg 5,22:10,01 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,12-04-2025
DLI0045,Vietnam Airlines,1.943.055 VND/khách,05:45,01 thg 5,06:40,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,12-04-2025
DLI0085,Vietnam Airlines,1.998.999 VND/khách,10:15,01 thg 5,11:10,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,12-04-2025
DLI0001,Bamboo Airways,1.749.675 VND/khách,16:45,01 thg 5,17:40,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 20 kg,Hành lý xách tay 7 kg,13-04-2025
DLI0014,VietJet Air,1.709.410 VND/khách,09:55,01 thg 5,10:50,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,13-04-2025
DLI0029,VietJet Air,1.709.410 VND/khách,15:35,01 thg 5,16:30,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,13-04-2025
DLI0122,Vietnam Airlines,1.937.061 VND/khách,21:10,01 thg 5,22:10,01 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,13-04-2025
DLI0045,Vietnam Airlines,1.945.053 VND/khách,05:45,01 thg 5,06:40,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,13-04-2025
DLI0122,Vietnam Airlines,1.934.064 VND/khách,21:10,01 thg 5,22:10,01 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,14-04-2025
DLI0014,VietJet Air,1.688.768 VND/khách,09:55,01 thg 5,10:50,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,14-04-2025
DLI0029,VietJet Air,1.688.768 VND/khách,15:35,01 thg 5,16:30,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,14-04-2025
