id,brand,price,start_time,start_day,end_time,end_day,trip_time,destination,checked_baggage,hand_luggage,crawl_date
HAN0106,Bamboo Airways,2.852.590 VND/khách,21:05,02 thg 5,23:15,02 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0589,VietJet Air,2.770.744 VND/khách,20:05,02 thg 5,22:10,02 thg 5,2h 5m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0523,VietJet Air,2.770.744 VND/khách,18:45,02 thg 5,20:55,02 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0547,VietJet Air,2.770.744 VND/khách,19:40,02 thg 5,21:50,02 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0568,VietJet Air,2.770.744 VND/khách,20:00,02 thg 5,22:10,02 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0610,VietJet Air,2.770.744 VND/khách,20:30,02 thg 5,22:40,02 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0699,VietJet Air,2.770.744 VND/khách,23:35,02 thg 5,01:45,03 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0207,VietJet Air,3.053.000 VND/khách,07:10,02 thg 5,09:20,02 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0499,VietJet Air,3.053.000 VND/khách,17:20,02 thg 5,19:30,02 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0098,Bamboo Airways,3.117.758 VND/khách,19:55,02 thg 5,22:05,02 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài",Hành lý 20 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0137,VietJet Air,3.211.292 VND/khách,05:00,02 thg 5,07:10,02 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0230,VietJet Air,3.211.292 VND/khách,07:30,02 thg 5,09:40,02 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
HAN0670,VietJet Air,3.211.292 VND/khách,22:10,02 thg 5,00:20,03 thg 5,2h 10m,"Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",Hành lý 0 kg,Hành lý xách tay 7 kg,01-05-2025
