brand,id,price,start_time,start_day,end_day,end_time,trip_time,destination,hand_luggage,checked_baggage,crawl_date
Bamboo Airways,PQC0002,1.245.267 VND/khách,16:30,02 thg 5,02 thg 5,17:30,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietravel Airlines,PQC0323,1.224.930 VND/khách,17:25,02 thg 5,02 thg 5,18:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietnam Airlines,PQC0292,1.535.463 VND/khách,17:25,02 thg 5,02 thg 5,18:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
VietJet Air,PQC0109,1.567.000 VND/khách,15:40,02 thg 5,02 thg 5,16:40,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0132,1.567.000 VND/khách,17:10,02 thg 5,02 thg 5,18:15,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0017,1.635.000 VND/khách,05:55,02 thg 5,02 thg 5,06:55,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietnam Airlines,PQC0182,1.735.463 VND/khách,05:40,02 thg 5,02 thg 5,06:40,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietnam Airlines,PQC0305,1.735.463 VND/khách,20:20,02 thg 5,02 thg 5,21:20,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
VietJet Air,PQC0042,1.827.000 VND/khách,09:20,02 thg 5,02 thg 5,10:20,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0088,1.827.000 VND/khách,14:05,02 thg 5,02 thg 5,15:05,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietnam Airlines,PQC0201,1.827.820 VND/khách,07:00,02 thg 5,02 thg 5,08:05,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietnam Airlines,PQC0245,1.979.244 VND/khách,10:30,02 thg 5,02 thg 5,11:35,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietnam Airlines,PQC0226,2.040.458 VND/khách,10:25,02 thg 5,02 thg 5,11:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietnam Airlines,PQC0269,2.040.458 VND/khách,15:05,02 thg 5,02 thg 5,16:10,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Bamboo Airways,PQC0003,869.953 VND/khách,16:30,03 thg 5,03 thg 5,17:30,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietravel Airlines,PQC0324,1.068.323 VND/khách,17:25,03 thg 5,03 thg 5,18:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0018,1.146.000 VND/khách,05:55,03 thg 5,03 thg 5,06:55,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
