,brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,hand_luggage,checked_baggage,crawl_date,source_file,destination,id
0,Bamboo Airways,1300341,06:30,2025-05-02,2025-05-02,07:55,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0002
1,VietJet Air,1426425,15:40,2025-05-02,2025-05-02,17:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0221
2,VietJet Air,1426425,15:50,2025-05-02,2025-05-02,17:10,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0227
3,Bamboo Airways,1443123,09:05,2025-05-02,2025-05-02,10:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0014
4,VietJet Air,1564080,13:35,2025-05-02,2025-05-02,14:50,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0178
5,VietJet Air,1566161,05:00,2025-05-02,2025-05-02,06:20,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0038
6,VietJet Air,1566161,06:50,2025-05-02,2025-05-02,08:10,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0071
7,VietJet Air,1566161,12:30,2025-05-02,2025-05-02,13:50,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0142
8,VietJet Air,1566161,16:15,2025-05-02,2025-05-02,17:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0229
9,VietJet Air,1566161,19:15,2025-05-02,2025-05-02,20:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0288
10,VietJet Air,1615727,14:10,2025-05-02,2025-05-02,15:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0200
11,Vietnam Airlines,1680785,05:45,2025-05-02,2025-05-02,07:10,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0374
12,VietJet Air,1739997,09:35,2025-05-02,2025-05-02,10:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0090
13,VietJet Air,1739997,10:25,2025-05-02,2025-05-02,11:50,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0112
14,Vietnam Airlines,1815997,06:55,2025-05-02,2025-05-02,08:25,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0392
15,VietJet Air,1824428,17:35,2025-05-02,2025-05-02,18:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0250
16,Vietnam Airlines,1950169,08:00,2025-05-02,2025-05-02,09:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0413
17,Vietnam Airlines,1950169,15:10,2025-05-02,2025-05-02,16:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0586
18,Vietnam Airlines,1950169,20:45,2025-05-02,2025-05-02,22:10,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0724
19,VietJet Air,1970063,21:15,2025-05-02,2025-05-02,22:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0324
20,Vietnam Airlines,2086425,10:00,2025-05-02,2025-05-02,11:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0475
21,Vietnam Airlines,2107224,17:00,2025-05-02,2025-05-02,18:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0657
22,Vietnam Airlines,2107224,18:40,2025-05-02,2025-05-02,20:05,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0669
23,Vietnam Airlines,2265316,16:00,2025-05-02,2025-05-02,17:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0613
24,Vietnam Airlines,2410929,09:10,2025-05-02,2025-05-02,10:25,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0461
25,Vietnam Airlines,2546141,11:00,2025-05-02,2025-05-02,12:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0501
26,Vietnam Airlines,2546141,13:20,2025-05-02,2025-05-02,14:50,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0563
33,Bamboo Airways,1190194,06:30,2025-05-03,2025-05-03,07:55,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0003
