,brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,hand_luggage,checked_baggage,crawl_date,source_file,destination,id
0,Bamboo Airways,1245267,16:30,2025-05-02,2025-05-02,17:30,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0002
1,Vietravel Airlines,1224930,17:25,2025-05-02,2025-05-02,18:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0323
2,Vietnam Airlines,1535463,17:25,2025-05-02,2025-05-02,18:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0292
3,VietJet Air,1567000,15:40,2025-05-02,2025-05-02,16:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0109
4,VietJet Air,1567000,17:10,2025-05-02,2025-05-02,18:15,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0132
5,VietJet Air,1635000,05:55,2025-05-02,2025-05-02,06:55,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0017
6,Vietnam Airlines,1735463,05:40,2025-05-02,2025-05-02,06:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0182
7,Vietnam Airlines,1735463,20:20,2025-05-02,2025-05-02,21:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0305
8,VietJet Air,1827000,09:20,2025-05-02,2025-05-02,10:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0042
9,VietJet Air,1827000,14:05,2025-05-02,2025-05-02,15:05,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0088
10,Vietnam Airlines,1827820,07:00,2025-05-02,2025-05-02,08:05,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0201
11,Vietnam Airlines,1979244,10:30,2025-05-02,2025-05-02,11:35,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0245
12,Vietnam Airlines,2040458,10:25,2025-05-02,2025-05-02,11:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0226
