,id,brand,price,start_time,start_day,end_time,end_day,trip_time,hand_luggage,checked_baggage,crawl_date,destination
0,DAD0002,Bamboo Airways,1.300.341 VND/khách,06:30,2025-05-02,07:55,2025-05-02,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
1,DAD0221,VietJet Air,1.426.425 VND/khách,15:40,2025-05-02,17:00,2025-05-02,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
2,DAD0227,VietJet Air,1.426.425 VND/khách,15:50,2025-05-02,17:10,2025-05-02,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
3,DAD0014,Bamboo Airways,1.443.123 VND/khách,09:05,2025-05-02,10:30,2025-05-02,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
4,DAD0178,VietJet Air,1.564.080 VND/khách,13:35,2025-05-02,14:50,2025-05-02,1h 15m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
5,DAD0038,VietJet Air,1.566.161 VND/khách,05:00,2025-05-02,06:20,2025-05-02,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
6,DAD0071,VietJet Air,1.566.161 VND/khách,06:50,2025-05-02,08:10,2025-05-02,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
7,DAD0142,VietJet Air,1.566.161 VND/khách,12:30,2025-05-02,13:50,2025-05-02,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
8,DAD0229,VietJet Air,1.566.161 VND/khách,16:15,2025-05-02,17:35,2025-05-02,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
9,DAD0288,VietJet Air,1.566.161 VND/khách,19:15,2025-05-02,20:35,2025-05-02,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
10,DAD0200,VietJet Air,1.615.727 VND/khách,14:10,2025-05-02,15:35,2025-05-02,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
11,DAD0374,Vietnam Airlines,1.680.785 VND/khách,05:45,2025-05-02,07:10,2025-05-02,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
12,DAD0090,VietJet Air,1.739.997 VND/khách,09:35,2025-05-02,10:55,2025-05-02,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
13,DAD0112,VietJet Air,1.739.997 VND/khách,10:25,2025-05-02,11:50,2025-05-02,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
14,DAD0392,Vietnam Airlines,1.815.997 VND/khách,06:55,2025-05-02,08:25,2025-05-02,1h 30m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
15,DAD0250,VietJet Air,1.824.428 VND/khách,17:35,2025-05-02,18:55,2025-05-02,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
16,DAD0413,Vietnam Airlines,1.950.169 VND/khách,08:00,2025-05-02,09:25,2025-05-02,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
17,DAD0586,Vietnam Airlines,1.950.169 VND/khách,15:10,2025-05-02,16:35,2025-05-02,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
18,DAD0724,Vietnam Airlines,1.950.169 VND/khách,20:45,2025-05-02,22:10,2025-05-02,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
19,DAD0324,VietJet Air,1.970.063 VND/khách,21:15,2025-05-02,22:35,2025-05-02,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
20,DAD0475,Vietnam Airlines,2.086.425 VND/khách,10:00,2025-05-02,11:25,2025-05-02,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
21,DAD0657,Vietnam Airlines,2.107.224 VND/khách,17:00,2025-05-02,18:25,2025-05-02,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
22,DAD0669,Vietnam Airlines,2.107.224 VND/khách,18:40,2025-05-02,20:05,2025-05-02,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
23,DAD0613,Vietnam Airlines,2.265.316 VND/khách,16:00,2025-05-02,17:25,2025-05-02,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
24,DAD0461,Vietnam Airlines,2.410.929 VND/khách,09:10,2025-05-02,10:25,2025-05-02,1h 15m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
25,DAD0501,Vietnam Airlines,2.546.141 VND/khách,11:00,2025-05-02,12:25,2025-05-02,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
26,DAD0563,Vietnam Airlines,2.546.141 VND/khách,13:20,2025-05-02,14:50,2025-05-02,1h 30m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
33,DAD0003,Bamboo Airways,1.190.194 VND/khách,06:30,2025-05-03,07:55,2025-05-03,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
34,DAD0360,VietJet Air,1.280.790 VND/khách,22:45,2025-05-03,00:05,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
35,DAD0338,VietJet Air,1.280.790 VND/khách,21:25,2025-05-03,22:50,2025-05-03,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
36,DAD0230,VietJet Air,1.401.899 VND/khách,16:15,2025-05-03,17:35,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
37,DAD0015,Bamboo Airways,1.443.123 VND/khách,09:05,2025-05-03,10:30,2025-05-03,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
38,DAD0179,VietJet Air,1.446.267 VND/khách,13:35,2025-05-03,14:50,2025-05-03,1h 15m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
39,DAD0039,VietJet Air,1.446.267 VND/khách,05:00,2025-05-03,06:20,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
40,DAD0059,VietJet Air,1.446.267 VND/khách,05:30,2025-05-03,06:50,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
