,id,brand,price,start_time,start_day,end_time,end_day,trip_time,hand_luggage,checked_baggage,crawl_date,destination
0,PQC0002,Bamboo Airways,1.245.267 VND/khách,16:30,2025-05-02,17:30,2025-05-02,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
1,PQC0323,Vietravel Airlines,1.224.930 VND/khách,17:25,2025-05-02,18:25,2025-05-02,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
2,PQC0292,Vietnam Airlines,1.535.463 VND/khách,17:25,2025-05-02,18:25,2025-05-02,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
3,PQC0109,VietJet Air,1.567.000 VND/khách,15:40,2025-05-02,16:40,2025-05-02,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
4,PQC0132,VietJet Air,1.567.000 VND/khách,17:10,2025-05-02,18:15,2025-05-02,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
5,PQC0017,VietJet Air,1.635.000 VND/khách,05:55,2025-05-02,06:55,2025-05-02,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
6,PQC0182,Vietnam Airlines,1.735.463 VND/khách,05:40,2025-05-02,06:40,2025-05-02,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
7,PQC0305,Vietnam Airlines,1.735.463 VND/khách,20:20,2025-05-02,21:20,2025-05-02,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
8,PQC0042,VietJet Air,1.827.000 VND/khách,09:20,2025-05-02,10:20,2025-05-02,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
9,PQC0088,VietJet Air,1.827.000 VND/khách,14:05,2025-05-02,15:05,2025-05-02,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
10,PQC0201,Vietnam Airlines,1.827.820 VND/khách,07:00,2025-05-02,08:05,2025-05-02,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
11,PQC0245,Vietnam Airlines,1.979.244 VND/khách,10:30,2025-05-02,11:35,2025-05-02,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
12,PQC0226,Vietnam Airlines,2.040.458 VND/khách,10:25,2025-05-02,11:25,2025-05-02,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
13,PQC0269,Vietnam Airlines,2.040.458 VND/khách,15:05,2025-05-02,16:10,2025-05-02,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
