id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
PQC0002,Bamboo Airways,1245267.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0003,Bamboo Airways,869953.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0004,Bamboo Airways,1013756.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0005,Bamboo Airways,782244.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0006,Bamboo Airways,754708.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,6,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0007,Bamboo Airways,1222830.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,8,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0008,Bamboo Airways,829158.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,10,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0003,Bamboo Airways,1245267.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0004,Bamboo Airways,1013756.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0005,Bamboo Airways,869953.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0006,Bamboo Airways,754708.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,5,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0007,Bamboo Airways,1222830.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,7,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0008,Bamboo Airways,829158.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,9,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0004,Bamboo Airways,1245267.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0005,Bamboo Airways,1013756.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0006,Bamboo Airways,951543.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0007,Bamboo Airways,1222830.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,6,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0008,Bamboo Airways,829158.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,8,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0005,Bamboo Airways,1136413.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0006,Bamboo Airways,806903.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
