id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
PQC0292,Vietnam Airlines,1535463.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
PQC0182,Vietnam Airlines,1735463.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,1,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
PQC0305,Vietnam Airlines,1735463.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
PQC0201,Vietnam Airlines,1827820.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",65,2,1,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
PQC0245,Vietnam Airlines,1979244.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",65,2,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
PQC0226,Vietnam Airlines,2040458.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
PQC0269,Vietnam Airlines,2040458.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",65,2,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
PQC0293,Vietnam Airlines,1390608.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
PQC0247,Vietnam Airlines,1411137.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",65,2,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
PQC0183,Vietnam Airlines,1479519.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,2,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
PQC0306,Vietnam Airlines,1501497.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
PQC0270,Vietnam Airlines,1501497.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",65,2,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
PQC0204,Vietnam Airlines,1535463.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",45,2,2,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
PQC0252,Vietnam Airlines,1886112.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",55,2,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
PQC0227,Vietnam Airlines,1920078.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
PQC0184,Vietnam Airlines,1236762.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,3,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
PQC0205,Vietnam Airlines,1274724.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",45,2,3,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
PQC0294,Vietnam Airlines,1274724.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,3,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
PQC0320,Vietnam Airlines,1274724.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,3,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
PQC0271,Vietnam Airlines,1389609.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",65,2,3,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
PQC0253,Vietnam Airlines,1703295.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",55,2,3,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
PQC0228,Vietnam Airlines,1703295.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,3,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
PQC0170,Vietnam Airlines,1027746.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",55,0,4,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False
PQC0185,Vietnam Airlines,1125873.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,4,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
PQC0308,Vietnam Airlines,1162836.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,4,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
PQC0272,Vietnam Airlines,1274724.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",65,0,4,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
PQC0254,Vietnam Airlines,1389609.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",55,0,4,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
PQC0229,Vietnam Airlines,1535463.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,4,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
PQC0206,Vietnam Airlines,1774224.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",45,0,4,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
PQC0186,Vietnam Airlines,1129869.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,5,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
PQC0273,Vietnam Airlines,1270728.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",65,0,5,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
