id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
PQC0323,Vietravel Airlines,1224930.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0324,Vietravel Airlines,1068323.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0325,Vietravel Airlines,1882938.125,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0326,Vietravel Airlines,767292.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0327,Vietravel Airlines,903059.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,5,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0328,Vietravel Airlines,759098.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,6,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0329,Vietravel Airlines,967575.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,7,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0330,Vietravel Airlines,1147125.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,8,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0331,Vietravel Airlines,967575.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,9,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0332,Vietravel Airlines,767292.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,10,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0324,Vietravel Airlines,1065330.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0325,Vietravel Airlines,1882938.125,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0326,Vietravel Airlines,812963.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0327,Vietravel Airlines,875805.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0328,Vietravel Airlines,746130.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,5,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0329,Vietravel Airlines,953610.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,6,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0330,Vietravel Airlines,1144133.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,7,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0331,Vietravel Airlines,953610.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,8,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0332,Vietravel Airlines,747128.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,9,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0325,Vietravel Airlines,1882938.125,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,2,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0326,Vietravel Airlines,1077300.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0327,Vietravel Airlines,975555.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0328,Vietravel Airlines,754110.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0329,Vietravel Airlines,1144133.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,5,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0330,Vietravel Airlines,1155105.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,6,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0331,Vietravel Airlines,964583.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,7,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0332,Vietravel Airlines,754110.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,8,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0326,Vietravel Airlines,1086278.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0327,Vietravel Airlines,1075305.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0328,Vietravel Airlines,808973.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0329,Vietravel Airlines,1131165.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0330,Vietravel Airlines,1154108.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,5,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0331,Vietravel Airlines,951615.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,6,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0332,Vietravel Airlines,742140.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,7,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0327,Vietravel Airlines,1077300.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0328,Vietravel Airlines,829920.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0329,Vietravel Airlines,1133160.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0330,Vietravel Airlines,1155105.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0331,Vietravel Airlines,1005480.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,5,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0332,Vietravel Airlines,743138.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,6,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0328,Vietravel Airlines,971565.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0329,Vietravel Airlines,1151115.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0330,Vietravel Airlines,1128173.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0331,Vietravel Airlines,1050368.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0332,Vietravel Airlines,766476.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,5,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0333,Vietravel Airlines,755000.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,14,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0334,Vietravel Airlines,759000.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,15,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0335,Vietravel Airlines,756000.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,16,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0336,Vietravel Airlines,1139000.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,17,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0337,Vietravel Airlines,1140000.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,18,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0338,Vietravel Airlines,1065000.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,19,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0339,Vietravel Airlines,888000.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,20,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0329,Vietravel Airlines,1078298.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0330,Vietravel Airlines,1153110.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0331,Vietravel Airlines,981211.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0332,Vietravel Airlines,766476.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0330,Vietravel Airlines,1162033.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0331,Vietravel Airlines,951615.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0332,Vietravel Airlines,690270.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,3,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0333,Vietravel Airlines,754549.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,12,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0334,Vietravel Airlines,754549.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,13,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0335,Vietravel Airlines,754549.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,14,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0336,Vietravel Airlines,1131823.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,0,15,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0337,Vietravel Airlines,1132808.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,16,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0338,Vietravel Airlines,957469.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,17,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0339,Vietravel Airlines,881620.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,18,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0331,Vietravel Airlines,981825.0,"Phú Quốc (PQC)
Sân bay Phú Quốc",60,1,1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
