brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,crawl_date
Vietravel Airlines,1.584.946 VND/khách,05:45,24 thg 4,07:55,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Hà Nội (HAN)
Sân bay Nội Bài",11-04-2025
VietJet Air,1.567.210 VND/khách,22:55,24 thg 4,01:05,25 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
Vietnam Airlines,1.659.514 VND/khách,04:55,24 thg 4,07:05,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",11-04-2025
VietJet Air,1.709.774 VND/khách,05:00,24 thg 4,07:10,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
VietJet Air,1.709.774 VND/khách,06:00,24 thg 4,08:10,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
VietJet Air,1.709.774 VND/khách,06:15,24 thg 4,08:25,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
VietJet Air,1.709.774 VND/khách,18:45,24 thg 4,20:55,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
VietJet Air,1.709.774 VND/khách,19:40,24 thg 4,21:50,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
VietJet Air,1.709.774 VND/khách,20:00,24 thg 4,22:10,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
VietJet Air,1.709.774 VND/khách,20:30,24 thg 4,22:40,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
VietJet Air,1.709.774 VND/khách,21:00,24 thg 4,23:10,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
VietJet Air,1.709.774 VND/khách,22:10,24 thg 4,00:20,25 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
VietJet Air,1.709.774 VND/khách,23:35,24 thg 4,01:45,25 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
VietJet Air,1.732.544 VND/khách,20:25,24 thg 4,22:35,24 thg 4,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",11-04-2025
