brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
VietJet Air,1.737.645 VND/khách,21:10,26 thg 4,23:05,26 thg 4,1h 55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
VietJet Air,1.737.645 VND/khách,20:10,26 thg 4,22:10,26 thg 4,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
VietJet Air,1.851.360 VND/khách,04:30,26 thg 4,06:30,26 thg 4,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
VietJet Air,1.851.360 VND/khách,16:10,26 thg 4,18:10,26 thg 4,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
VietJet Air,1.851.360 VND/khách,19:15,26 thg 4,21:15,26 thg 4,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
VietJet Air,2.024.925 VND/khách,06:15,26 thg 4,08:15,26 thg 4,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
VietJet Air,2.024.925 VND/khách,14:05,26 thg 4,16:05,26 thg 4,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
VietJet Air,2.198.490 VND/khách,09:15,26 thg 4,11:15,26 thg 4,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
Vietnam Airlines,2.459.538 VND/khách,20:30,26 thg 4,22:30,26 thg 4,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 1 x 12 kg,Hành lý 1 x 23 kg,16-04-2025
Vietnam Airlines,2.459.538 VND/khách,13:20,26 thg 4,15:25,26 thg 4,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 1 x 12 kg,Hành lý 1 x 23 kg,16-04-2025
Vietnam Airlines,2.474.523 VND/khách,17:55,26 thg 4,19:55,26 thg 4,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 1 x 12 kg,Hành lý 1 x 23 kg,16-04-2025
Vietnam Airlines,2.706.291 VND/khách,07:45,26 thg 4,09:45,26 thg 4,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Hành lý xách tay 1 x 12 kg,Hành lý 1 x 23 kg,16-04-2025
VietJet Air,2.775.070 VND/khách,05:30,26 thg 4,06:50,26 thg 4,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
VietJet Air,2.775.070 VND/khách,05:00,26 thg 4,06:20,26 thg 4,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
"Bamboo Airways, VietJet Air",2.785.418 VND/khách,06:30,26 thg 4,07:55,26 thg 4,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
VietJet Air,2.884.795 VND/khách,06:50,26 thg 4,08:10,26 thg 4,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,16-04-2025
"Vietnam Airlines, VietJet Air",3.054.196 VND/khách,05:45,26 thg 4,07:10,26 thg 4,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,16-04-2025
