id,brand,price,start_hour,end_hour,trip_minutes,destination,hand_luggage,checked_baggage,is_holiday,days_left
HAN0002,Bamboo Airways,1080048,16,17,55,HAN,7.0,0.0,2,1
HAN0030,VietJet Air,1052363,15,16,55,HAN,7.0,0.0,2,1
HAN0136,Vietnam Airlines,1161837,21,22,60,HAN,12.0,23.0,2,1
HAN0150,Vietnam Airlines,1229769,5,6,55,HAN,12.0,23.0,2,1
HAN0046,VietJet Air,1338645,9,10,55,HAN,7.0,0.0,2,1
HAN0168,Vietnam Airlines,1701297,8,9,55,HAN,12.0,23.0,2,1
HAN0003,Bamboo Airways,782244,16,17,55,HAN,7.0,0.0,2,2
HAN0047,VietJet Air,805980,9,10,55,HAN,7.0,0.0,2,2
HAN0031,VietJet Air,805980,15,16,55,HAN,7.0,0.0,2,2
HAN0137,Vietnam Airlines,1149849,21,22,60,HAN,12.0,23.0,2,2
HAN0169,Vietnam Airlines,1160838,8,9,55,HAN,12.0,23.0,2,2
HAN0004,Bamboo Airways,869953,16,17,55,HAN,7.0,0.0,2,3
HAN0048,VietJet Air,806978,9,10,55,HAN,7.0,0.0,2,3
HAN0170,Vietnam Airlines,1012986,8,9,55,HAN,12.0,0.0,2,3
HAN0148,Vietnam Airlines,1012986,22,23,60,HAN,12.0,0.0,2,3
HAN0032,VietJet Air,1052363,15,16,55,HAN,7.0,0.0,2,3
HAN0049,VietJet Air,806978,9,10,55,HAN,7.0,0.0,0,4
HAN0153,Vietnam Airlines,1012986,5,6,55,HAN,12.0,0.0,0,4
HAN0139,Vietnam Airlines,1161837,21,22,60,HAN,12.0,23.0,0,4
HAN0102,Vietnam Airlines,1791207,10,11,55,HAN,12.0,23.0,0,4
HAN0005,Bamboo Airways,754708,16,17,55,HAN,7.0,0.0,0,5
HAN0050,VietJet Air,806978,9,10,55,HAN,7.0,0.0,0,5
HAN0172,Vietnam Airlines,902097,8,9,55,HAN,12.0,0.0,0,5
HAN0124,Vietnam Airlines,1120878,17,18,55,HAN,12.0,23.0,0,5
HAN0051,VietJet Air,806978,9,10,55,HAN,7.0,0.0,0,6
HAN0173,Vietnam Airlines,901098,8,9,55,HAN,12.0,0.0,0,6
