brand,start_day,start_time,end_day,end_time,trip_time,price,crawl_date,days_left,id,check
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3117758,11/4/2025,20,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3117758,12/4/2025,19,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3117758,13-04-2025,18,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3405815,14-04-2025,17,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3475775,15-04-2025,16,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3133425,16-04-2025,15,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3458396,17-04-2025,14,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3458396,18-04-2025,13,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3458396,19-04-2025,12,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3807193,20-04-2025,11,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3807193,21-04-2025,10,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3416051,22-04-2025,9,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3416051,22-04-2025,9,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3760578,23-04-2025,8,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3416051,24-04-2025,7,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3117758,25-04-2025,6,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3117758,25-04-2025,6,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3117758,26-04-2025,5,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3117758,27-04-2025,4,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3117758,28-04-2025,3,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,2622099,29-04-2025,2,HAN0025,2
Bamboo Airways,1/5/2025,10:40:00,1/5/2025,12:50:00,2.17,3042323,30-04-2025,1,HAN0025,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3117758,11/4/2025,20,HAN0030,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3117758,12/4/2025,19,HAN0030,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3117758,13-04-2025,18,HAN0030,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3405815,14-04-2025,17,HAN0030,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3133425,15-04-2025,16,HAN0030,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3475775,16-04-2025,15,HAN0030,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3458396,17-04-2025,14,HAN0030,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3458396,18-04-2025,13,HAN0030,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3458396,19-04-2025,12,HAN0030,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3807193,20-04-2025,11,HAN0030,2
Bamboo Airways,1/5/2025,12:50:00,1/5/2025,15:00:00,2.17,3807193,21-04-2025,10,HAN0030,2
