id,brand,price,start_hour,end_hour,trip_minutes,destination,hand_luggage,checked_baggage,is_holiday,days_left
HAN0106,Bamboo Airways,2852590,21,23,130,HAN,7.0,0.0,2,1
HAN0589,VietJet Air,2770744,20,22,125,HAN,7.0,0.0,2,1
HAN0523,VietJet Air,2770744,18,20,130,HAN,7.0,0.0,2,1
HAN0547,VietJet Air,2770744,19,21,130,HAN,7.0,0.0,2,1
HAN0568,VietJet Air,2770744,20,22,130,HAN,7.0,0.0,2,1
HAN0610,VietJet Air,2770744,20,22,130,HAN,7.0,0.0,2,1
HAN0699,VietJet Air,2770744,23,1,130,HAN,7.0,0.0,2,1
HAN0207,VietJet Air,3053000,7,9,130,HAN,7.0,0.0,2,1
HAN0499,VietJet Air,3053000,17,19,130,HAN,7.0,0.0,2,1
HAN0098,Bamboo Airways,3117758,19,22,130,HAN,7.0,20.0,2,1
HAN0137,VietJet Air,3211292,5,7,130,HAN,7.0,0.0,2,1
HAN0230,VietJet Air,3211292,7,9,130,HAN,7.0,0.0,2,1
HAN0670,VietJet Air,3211292,22,0,130,HAN,7.0,0.0,2,1
HAN0416,VietJet Air,3383986,14,16,125,HAN,7.0,0.0,2,1
HAN0430,VietJet Air,3383986,15,17,130,HAN,7.0,0.0,2,1
HAN0457,VietJet Air,3383986,16,18,130,HAN,7.0,0.0,2,1
HAN0479,VietJet Air,3383986,16,19,130,HAN,7.0,0.0,2,1
HAN0644,VietJet Air,3383986,21,23,130,HAN,7.0,0.0,2,1
HAN0179,VietJet Air,3467310,6,8,130,HAN,7.0,0.0,2,1
HAN0251,VietJet Air,3467310,8,10,130,HAN,7.0,0.0,2,1
HAN0278,VietJet Air,3467310,9,11,130,HAN,7.0,0.0,2,1
HAN0320,VietJet Air,3467310,10,12,130,HAN,7.0,0.0,2,1
HAN0350,VietJet Air,3467310,12,14,130,HAN,7.0,0.0,2,1
HAN0391,VietJet Air,3467310,12,15,130,HAN,7.0,0.0,2,1
HAN0400,VietJet Air,3467310,13,15,130,HAN,7.0,0.0,2,1
HAN1138,Vietnam Airlines,3688833,19,21,125,HAN,12.0,23.0,2,1
HAN1200,Vietnam Airlines,3688833,21,23,125,HAN,12.0,23.0,2,1
HAN1271,Vietnam Airlines,3694561,23,1,120,HAN,12.0,23.0,2,1
HAN0744,Vietnam Airlines,3694561,6,8,125,HAN,12.0,23.0,2,1
HAN0771,Vietnam Airlines,3694561,6,8,125,HAN,12.0,23.0,2,1
HAN1248,Vietnam Airlines,3694561,23,1,125,HAN,12.0,23.0,2,1
HAN0723,Vietnam Airlines,3694561,4,7,130,HAN,12.0,23.0,2,1
HAN0026,Bamboo Airways,3716055,10,12,130,HAN,7.0,20.0,2,1
HAN1068,Vietnam Airlines,3852575,17,19,130,HAN,12.0,23.0,2,1
HAN0797,Vietnam Airlines,3859021,8,10,125,HAN,12.0,23.0,2,1
HAN0820,Vietnam Airlines,3859021,9,11,125,HAN,12.0,23.0,2,1
HAN0841,Vietnam Airlines,3859021,10,12,125,HAN,12.0,23.0,2,1
HAN0869,Vietnam Airlines,3859021,11,13,125,HAN,12.0,23.0,2,1
HAN0891,Vietnam Airlines,3859021,12,14,125,HAN,12.0,23.0,2,1
HAN0919,Vietnam Airlines,3859021,13,15,125,HAN,12.0,23.0,2,1
HAN0970,Vietnam Airlines,3859021,14,16,125,HAN,12.0,23.0,2,1
HAN1012,Vietnam Airlines,3859021,16,18,125,HAN,12.0,23.0,2,1
HAN1091,Vietnam Airlines,3859021,18,20,125,HAN,12.0,23.0,2,1
HAN1116,Vietnam Airlines,3859021,19,21,125,HAN,12.0,23.0,2,1
HAN1160,Vietnam Airlines,3859021,20,22,125,HAN,12.0,23.0,2,1
HAN1223,Vietnam Airlines,3859021,22,0,125,HAN,12.0,23.0,2,1
HAN0001,Bamboo Airways,2622099,5,7,130,HAN,7.0,0.0,2,2
HAN0133,Bamboo Airways,2622099,23,2,130,HAN,7.0,0.0,2,2
HAN1283,Vietravel Airlines,2758088,5,7,130,HAN,7.0,0.0,2,2
HAN0132,Bamboo Airways,2852590,23,1,130,HAN,7.0,0.0,2,2
HAN0138,VietJet Air,2860787,5,7,130,HAN,7.0,0.0,2,2
HAN0159,VietJet Air,3053000,6,8,130,HAN,7.0,0.0,2,2
HAN0180,VietJet Air,3053000,6,8,130,HAN,7.0,0.0,2,2
HAN0252,VietJet Air,3053000,8,10,130,HAN,7.0,0.0,2,2
HAN0279,VietJet Air,3053000,9,11,130,HAN,7.0,0.0,2,2
HAN0671,VietJet Air,3053000,22,0,130,HAN,7.0,0.0,2,2
HAN0700,VietJet Air,3053000,23,1,130,HAN,7.0,0.0,2,2
HAN0500,VietJet Air,3059333,17,19,130,HAN,7.0,0.0,2,2
HAN0099,Bamboo Airways,3117758,19,22,130,HAN,7.0,20.0,2,2
HAN0480,VietJet Air,3167063,16,19,130,HAN,7.0,0.0,2,2
HAN0300,VietJet Air,3211292,9,11,130,HAN,7.0,0.0,2,2
HAN0524,VietJet Air,3211292,18,20,130,HAN,7.0,0.0,2,2
HAN0548,VietJet Air,3211292,19,21,130,HAN,7.0,0.0,2,2
HAN0027,Bamboo Airways,3375607,10,12,130,HAN,7.0,20.0,2,2
HAN0064,Bamboo Airways,3458396,17,20,130,HAN,7.0,20.0,2,2
HAN0208,VietJet Air,3493958,7,9,130,HAN,7.0,0.0,2,2
HAN0321,VietJet Air,3493958,10,12,130,HAN,7.0,0.0,2,2
HAN0351,VietJet Air,3493958,12,14,130,HAN,7.0,0.0,2,2
HAN0458,VietJet Air,3493958,16,18,130,HAN,7.0,0.0,2,2
HAN0569,VietJet Air,3493958,20,22,130,HAN,7.0,0.0,2,2
HAN0611,VietJet Air,3493958,20,22,130,HAN,7.0,0.0,2,2
HAN0645,VietJet Air,3493958,21,23,130,HAN,7.0,0.0,2,2
HAN1013,Vietnam Airlines,3852575,16,18,125,HAN,12.0,23.0,2,2
HAN1161,Vietnam Airlines,3852575,20,22,125,HAN,12.0,23.0,2,2
HAN0946,Vietnam Airlines,3852575,14,16,135,HAN,12.0,23.0,2,2
HAN0745,Vietnam Airlines,3859021,6,8,125,HAN,12.0,23.0,2,2
HAN0765,Vietnam Airlines,3859021,6,8,125,HAN,12.0,23.0,2,2
HAN0772,Vietnam Airlines,3859021,6,8,125,HAN,12.0,23.0,2,2
HAN0777,Vietnam Airlines,3859021,7,9,125,HAN,12.0,23.0,2,2
HAN0798,Vietnam Airlines,3859021,8,10,125,HAN,12.0,23.0,2,2
HAN0821,Vietnam Airlines,3859021,9,11,125,HAN,12.0,23.0,2,2
HAN0892,Vietnam Airlines,3859021,12,14,125,HAN,12.0,23.0,2,2
HAN0945,Vietnam Airlines,3859021,14,16,125,HAN,12.0,23.0,2,2
HAN1062,Vietnam Airlines,3859021,16,18,125,HAN,12.0,23.0,2,2
HAN1092,Vietnam Airlines,3859021,18,20,125,HAN,12.0,23.0,2,2
HAN1111,Vietnam Airlines,3859021,18,20,125,HAN,12.0,23.0,2,2
HAN1185,Vietnam Airlines,3859021,20,22,125,HAN,12.0,23.0,2,2
HAN1224,Vietnam Airlines,3859021,22,0,125,HAN,12.0,23.0,2,2
HAN1249,Vietnam Airlines,3859021,23,1,125,HAN,12.0,23.0,2,2
HAN0724,Vietnam Airlines,3859021,4,7,130,HAN,12.0,23.0,2,2
HAN1069,Vietnam Airlines,3859021,17,19,130,HAN,12.0,23.0,2,2
HAN0002,Bamboo Airways,3117758,5,7,130,HAN,7.0,20.0,2,3
HAN0107,Bamboo Airways,3117758,21,23,130,HAN,7.0,20.0,2,3
HAN0122,Bamboo Airways,3117758,23,1,130,HAN,7.0,20.0,2,3
HAN1284,Vietravel Airlines,3201975,5,7,130,HAN,7.0,0.0,2,3
HAN0139,VietJet Air,3211292,5,7,130,HAN,7.0,0.0,2,3
HAN0100,Bamboo Airways,3458396,19,22,130,HAN,7.0,20.0,2,3
HAN0591,VietJet Air,3493958,20,22,125,HAN,7.0,0.0,2,3
HAN0209,VietJet Air,3493958,7,9,130,HAN,7.0,0.0,2,3
HAN0232,VietJet Air,3493958,7,9,130,HAN,7.0,0.0,2,3
HAN0253,VietJet Air,3765317,8,10,130,HAN,7.0,0.0,2,3
HAN0352,VietJet Air,3765317,12,14,130,HAN,7.0,0.0,2,3
HAN0612,VietJet Air,3765317,20,22,130,HAN,7.0,0.0,2,3
HAN0020,Bamboo Airways,3807193,8,10,130,HAN,7.0,20.0,2,3
HAN0028,Bamboo Airways,3807193,10,12,130,HAN,7.0,20.0,2,3
